sbj,sess,score,condition,Condition
1,1,3,0,beginning
1,1,4,1,end
1,1,6,2,after_PVT
1,1,1,3,after_PVT
1,2,2,0,beginning
1,2,6,1,end
1,2,5,2,after_PVT
1,2,4,3,after_PVT
1,3,3,0,beginning
1,3,4,1,end
1,3,4,2,after_PVT
1,3,1,3,after_PVT
2,1,4,0,beginning
2,1,6,1,end
2,1,8,2,after_PVT
2,1,2,3,after_PVT
2,2,4,0,beginning
2,2,7,1,end
2,2,9,2,after_PVT
2,2,3,3,after_PVT
2,3,3,0,beginning
2,3,7,1,end
2,3,6,2,after_PVT
2,3,4,3,after_PVT
3,1,2,0,beginning
3,1,2,1,end
3,1,2,2,after_PVT
3,1,0,3,after_PVT
3,2,2,0,beginning
3,2,2,1,end
3,2,2,2,after_PVT
3,2,0,3,after_PVT
3,3,3,0,beginning
3,3,3,1,end
3,3,3,2,after_PVT
3,3,0,3,after_PVT
4,1,1,0,beginning
4,1,3,1,end
4,1,3,2,after_PVT
4,1,2,3,after_PVT
4,2,1,0,beginning
4,2,3,1,end
4,2,2,2,after_PVT
4,2,2,3,after_PVT
4,3,4,0,beginning
4,3,6,1,end
4,3,4,2,after_PVT
4,3,2,3,after_PVT
5,1,5,0,beginning
5,1,4,1,end
5,1,6,2,after_PVT
5,1,-1,3,after_PVT
5,2,7,0,beginning
5,2,6,1,end
5,2,7,2,after_PVT
5,2,-1,3,after_PVT
5,3,8,0,beginning
5,3,3,1,end
5,3,4,2,after_PVT
5,3,-5,3,after_PVT
6,1,3,0,beginning
6,1,5,1,end
6,1,5,2,after_PVT
6,1,2,3,after_PVT
6,2,2,0,beginning
6,2,4,1,end
6,2,3,2,after_PVT
6,2,2,3,after_PVT
6,3,2,0,beginning
6,3,3,1,end
6,3,4,2,after_PVT
6,3,1,3,after_PVT
7,1,2,0,beginning
7,1,3,1,end
7,1,2,2,after_PVT
7,1,1,3,after_PVT
7,2,3,0,beginning
7,2,6,1,end
7,2,2,2,after_PVT
7,2,3,3,after_PVT
7,3,3,0,beginning
7,3,3,1,end
7,3,3,2,after_PVT
7,3,0,3,after_PVT
8,1,3,0,beginning
8,1,5,1,end
8,1,4,2,after_PVT
8,1,2,3,after_PVT
8,2,3,0,beginning
8,2,4,1,end
8,2,4,2,after_PVT
8,2,1,3,after_PVT
8,3,4,0,beginning
8,3,5,1,end
8,3,4,2,after_PVT
8,3,1,3,after_PVT
9,1,8,0,beginning
9,1,6,1,end
9,1,4,2,after_PVT
9,1,-2,3,after_PVT
9,2,3,0,beginning
9,2,4,1,end
9,2,3,2,after_PVT
9,2,1,3,after_PVT
9,3,4,0,beginning
9,3,4,1,end
9,3,5,2,after_PVT
9,3,0,3,after_PVT
10,1,2,0,beginning
10,1,3,1,end
10,1,3,2,after_PVT
10,1,1,3,after_PVT
10,2,3,0,beginning
10,2,3,1,end
10,2,3,2,after_PVT
10,2,0,3,after_PVT
10,3,3,0,beginning
10,3,4,1,end
10,3,2,2,after_PVT
10,3,1,3,after_PVT
11,1,6,0,beginning
11,1,4,1,end
11,1,6,2,after_PVT
11,1,-2,3,after_PVT
11,2,6,0,beginning
11,2,3,1,end
11,2,6,2,after_PVT
11,2,-3,3,after_PVT
11,3,4,0,beginning
11,3,3,1,end
11,3,3,2,after_PVT
11,3,-1,3,after_PVT
12,1,3,0,beginning
12,1,6,1,end
12,1,7,2,after_PVT
12,1,3,3,after_PVT
12,2,6,0,beginning
12,2,4,1,end
12,2,7,2,after_PVT
12,2,-2,3,after_PVT
12,3,5,0,beginning
12,3,6,1,end
12,3,6,2,after_PVT
12,3,1,3,after_PVT
13,1,3,0,beginning
13,1,2,1,end
13,1,3,2,after_PVT
13,1,-1,3,after_PVT
13,2,3,0,beginning
13,2,6,1,end
13,2,5,2,after_PVT
13,2,3,3,after_PVT
13,3,3,0,beginning
13,3,3,1,end
13,3,3,2,after_PVT
13,3,0,3,after_PVT
14,1,5,0,beginning
14,1,6,1,end
14,1,5,2,after_PVT
14,1,1,3,after_PVT
14,2,4,0,beginning
14,2,4,1,end
14,2,4,2,after_PVT
14,2,0,3,after_PVT
15,1,3,0,beginning
15,1,5,1,end
15,1,5,2,after_PVT
15,1,2,3,after_PVT
15,2,2,0,beginning
15,2,5,1,end
15,2,6,2,after_PVT
15,2,3,3,after_PVT
15,3,3,0,beginning
15,3,5,1,end
15,3,5,2,after_PVT
15,3,2,3,after_PVT
16,1,4,0,beginning
16,1,5,1,end
16,1,5,2,after_PVT
16,1,1,3,after_PVT
16,2,4,0,beginning
16,2,4,1,end
16,2,4,2,after_PVT
16,2,0,3,after_PVT
16,3,4,0,beginning
16,3,5,1,end
16,3,5,2,after_PVT
16,3,1,3,after_PVT
17,1,3,0,beginning
17,1,5,1,end
17,1,4,2,after_PVT
17,1,2,3,after_PVT
17,2,3,0,beginning
17,2,5,1,end
17,2,5,2,after_PVT
17,2,2,3,after_PVT
17,3,4,0,beginning
17,3,6,1,end
17,3,4,2,after_PVT
17,3,2,3,after_PVT
18,1,3,0,beginning
18,1,6,1,end
18,1,8,2,after_PVT
18,1,3,3,after_PVT
18,2,6,0,beginning
18,2,8,1,end
18,2,7,2,after_PVT
18,2,2,3,after_PVT
18,3,7,0,beginning
18,3,3,1,end
18,3,3,2,after_PVT
18,3,-4,3,after_PVT
19,1,2,0,beginning
19,1,3,1,end
19,1,3,2,after_PVT
19,1,1,3,after_PVT
19,2,2,0,beginning
19,2,3,1,end
19,2,2,2,after_PVT
19,2,1,3,after_PVT
19,3,1,0,beginning
19,3,3,1,end
19,3,3,2,after_PVT
19,3,2,3,after_PVT
20,1,3,0,beginning
20,1,2,1,end
20,1,3,2,after_PVT
20,1,-1,3,after_PVT
20,2,2,0,beginning
20,2,4,1,end
20,2,4,2,after_PVT
20,2,2,3,after_PVT
20,3,2,0,beginning
20,3,3,1,end
20,3,6,2,after_PVT
20,3,1,3,after_PVT
21,1,3,0,beginning
21,1,7,1,end
21,1,7,2,after_PVT
21,1,4,3,after_PVT
21,2,4,0,beginning
21,2,3,1,end
21,2,4,2,after_PVT
21,2,-1,3,after_PVT
21,3,3,0,beginning
21,3,6,1,end
21,3,6,2,after_PVT
21,3,3,3,after_PVT
22,1,3,0,beginning
22,1,4,1,end
22,1,3,2,after_PVT
22,1,1,3,after_PVT
22,2,2,0,beginning
22,2,3,1,end
22,2,3,2,after_PVT
22,2,1,3,after_PVT
22,3,2,0,beginning
22,3,2,1,end
22,3,4,2,after_PVT
22,3,0,3,after_PVT
23,1,3,0,beginning
23,1,5,1,end
23,1,3,2,after_PVT
23,1,2,3,after_PVT
23,2,3,0,beginning
23,2,6,1,end
23,2,8,2,after_PVT
23,2,3,3,after_PVT
23,3,3,0,beginning
23,3,7,1,end
23,3,9,2,after_PVT
23,3,4,3,after_PVT
24,1,6,0,beginning
24,1,8,1,end
24,1,7,2,after_PVT
24,1,2,3,after_PVT
24,2,6,0,beginning
24,2,7,1,end
24,2,8,2,after_PVT
24,2,1,3,after_PVT
24,3,6,0,beginning
24,3,7,1,end
24,3,8,2,after_PVT
24,3,1,3,after_PVT
