sbj,Session,Condition,Score,condition



1,1,4,41.0855673003497,ZeroBack
1,1,5,49.5739721072304,OneBack
1,1,6,53.8181745106708,TwoBack

1,2,4,37,ZeroBack
1,2,5,59.219886660504,OneBack
1,2,6,61.1490695711587,TwoBack

1,3,4,46.4872794501829,ZeroBack
1,3,5,61.1490695711587,OneBack
1,3,6,84.2992644990153,TwoBack



2,1,1,20.6362284474097,MATB_easy
2,1,2,41.4714038824806,MATB_med
2,1,3,94.7168522165508,MATB_diff
2,1,4,31.4396527470761,ZeroBack
2,1,5,19.4787187010168,OneBack
2,1,6,57,TwoBack
2,1,7,56.1331940034565,PVT
2,1,8,53.0465013464089,Flanker
2,2,1,25,MATB_easy
2,2,2,43.0147502110044,MATB_med
2,2,3,56.1331940034565,MATB_diff
2,2,4,20.6362284474097,ZeroBack
2,2,5,24.4945942687191,OneBack
2,2,6,49.1881355250995,TwoBack
2,2,7,66.164945138861,PVT
2,2,8,30.2821430006833,Flanker
2,3,1,21.0220650295406,MATB_easy
2,3,2,44.1722599573972,MATB_med
2,3,3,46.8731160323138,MATB_diff
2,3,4,14.8486797154455,ZeroBack
2,3,5,23.3370845223263,OneBack
2,3,6,42.2430770467425,TwoBack
2,3,7,43.4005867931353,PVT
2,3,8,32.9829990755999,Flanker
3,1,1,49.1881355250995,MATB_easy
3,1,2,71.1808207065632,MATB_med
3,1,3,102,MATB_diff
3,1,4,24.88043085085,ZeroBack
3,1,5,37.2272014790402,OneBack
3,1,6,71,TwoBack
3,1,7,36.8413648969093,PVT
3,1,8,56.9048671677183,Flanker
3,2,1,24.4945942687191,MATB_easy
3,2,2,49.9598086893614,MATB_med
3,2,3,92.7876693058961,MATB_diff
3,2,4,18.707045536755,ZeroBack
3,2,5,20,OneBack
3,2,6,78.1258791849202,TwoBack
3,2,7,46.8731160323138,PVT
3,2,8,25.266267432981,Flanker
3,3,1,20,MATB_easy
3,3,2,51.1173184357542,MATB_med
3,3,3,85,MATB_diff
3,3,4,13.6911699690527,ZeroBack
3,3,5,26.0379405972429,OneBack
3,3,6,51.1173184357542,TwoBack
3,3,7,56.9048671677183,PVT
3,3,8,38.770547807564,Flanker
4,1,1,25,MATB_easy
4,1,2,25,MATB_med
4,1,3,37,MATB_diff
4,1,4,2,ZeroBack
4,1,5,13,OneBack
4,1,6,25,TwoBack
4,1,7,13.3053333869217,PVT
4,1,8,25,Flanker
4,2,1,13,MATB_easy
4,2,2,32.5971624934689,MATB_med
4,2,3,36.4555283147783,MATB_diff
4,2,4,2,ZeroBack
4,2,5,12.9194968047908,OneBack
4,2,6,11.761987058398,TwoBack
4,2,7,3.27358225151722,PVT
4,2,8,13,Flanker
4,3,1,13,MATB_easy
4,3,2,25,MATB_med
4,3,3,37,MATB_diff
4,3,4,2,ZeroBack
4,3,5,13,OneBack
4,3,6,25,TwoBack
4,3,7,25,PVT
4,3,8,25,Flanker
5,1,1,13,MATB_easy
5,1,2,25,MATB_med
5,1,3,85,MATB_diff
5,1,4,2.50190908725534,ZeroBack
5,1,5,12.9194968047908,OneBack
5,1,6,57,TwoBack
5,1,7,13,PVT
5,1,8,57.2907037498493,Flanker
